number,group,age,gender,education,familyincome,offender,SAVRY1,SAVRY2,SAVRY3,SAVRY4,SAVRY5,SAVRY6,SAVRY7,SAVRY8,SAVRY9,SAVRY10,H,SAVRY11,SAVRY12,SAVRY13,SAVRY14,SAVRY15,SAVRY16,S,SAVRY17,SAVRY18,SAVRY19,SAVRY20,SAVRY21,SAVRY22,SAVRY23,SAVRY24,I,P1,P2,P3,P4,P5,P6,P,Reoffending
02010028,1,17,1,9,2,2,3,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0
02010076,1,17,1,9,2,3,3,1,2,1,1,1,2,1,3,2,2,3,1,2,3,3,3,4,1,3,2,2,2,1,3,3,,2,2,2,2,1,2,5,0
02010089,1,17,1,7,2,3,3,2,2,3,1,2,2,1,1,2,2,3,1,1,3,2,1,2,2,3,1,3,2,2,3,3,,2,2,2,1,1,2,4,0
02010056,1,17,1,8,2,2,3,1,2,2,1,2,2,1,3,1,2,3,2,1,2,3,1,2,3,2,1,1,2,2,1,2,,2,2,2,1,1,2,4,0
02010027,1,17,1,8,2,4,3,2,2,1,2,2,2,1,1,2,1,3,2,2,2,2,2,1,2,2,2,2,2,1,1,2,0,2,2,1,1,1,2,3,0
02010041,1,17,1,6,2,3,3,3,3,2,2,2,2,1,1,2,3,3,1,1,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,5,0
02010004,1,17,1,6,2,5,2,3,3,2,2,2,2,1,2,1,2,3,1,2,2,2,3,2,2,3,2,2,1,2,3,3,3,2,2,2,2,2,2,5,0
02010035,1,17,1,8,2,5,3,1,2,2,1,2,2,2,1,3,2,3,1,2,2,2,2,1,1,2,1,1,2,1,2,3,1,1,2,2,1,2,2,4,0
02010033,1,17,1,8,2,5,3,2,3,1,1,2,2,1,1,3,3,3,2,2,2,2,2,1,1,2,2,1,2,1,3,3,2,1,2,2,2,2,2,5,0
02010073,1,17,1,5,2,5,3,1,3,3,1,1,2,2,3,1,4,3,2,1,2,2,3,2,3,3,2,3,2,3,3,1,5,2,1,1,2,2,2,4,0
03010035,1,17,1,10,2,4,3,2,2,2,1,1,1,3,1,2,2,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,4,0
03010030,1,17,1,9,2,4,2,2,2,1,1,1,1,1,1,1,0,2,1,1,1,1,2,0,1,2,1,1,2,1,2,1,0,1,1,1,1,2,2,2,0
04010004,1,16,1,7,2,4,3,3,1,3,1,1,1,1,1,3,4,3,1,2,3,3,3,4,1,1,1,1,1,1,1,2,0,1,2,2,1,2,1,3,0
02010019,1,16,1,7,2,5,3,1,2,2,1,1,2,1,3,3,3,3,2,1,2,3,1,2,2,2,1,2,2,2,3,3,2,2,1,2,2,2,1,4,0
02010030,1,16,1,7,2,3,3,2,3,1,1,2,2,1,3,2,3,3,2,1,2,1,2,1,2,3,2,1,3,2,3,1,3,2,1,1,2,2,1,3,0
02010090,1,16,1,9,2,5,2,1,1,1,1,2,2,1,3,2,1,2,1,1,1,2,1,0,2,1,1,1,1,2,1,2,0,2,1,1,1,2,1,2,0
02010008,1,16,1,7,2,5,2,2,1,2,1,2,1,1,1,1,0,3,1,1,3,2,2,1,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,0,0
02010006,1,16,1,8,2,3,3,1,2,3,1,2,2,1,1,3,3,2,1,1,2,1,2,0,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,0
03010046,1,16,1,7,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
02010021,1,16,1,2,2,2,2,1,2,2,1,3,2,1,2,2,1,3,2,2,3,3,2,3,2,3,1,3,2,2,2,2,2,2,2,1,2,1,2,4,0
04010067,1,16,1,7,2,4,2,3,1,1,1,1,1,1,3,1,2,2,2,1,2,2,2,0,2,2,1,1,2,1,2,2,0,2,2,1,2,2,2,5,0
02010011,1,16,1,7,2,3,2,1,3,2,1,2,2,1,1,2,1,3,2,1,2,2,1,1,2,2,2,2,2,1,2,2,0,1,2,2,2,2,2,5,0
04010031,1,16,1,6,2,4,3,3,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,0,2,3,2,1,1,3,2,3,3,1,2,2,2,2,2,5,0
03010070,1,16,1,7,2,4,1,1,1,1,1,2,1,1,2,1,0,2,2,2,1,2,1,0,2,2,1,1,2,2,2,2,0,1,2,2,2,1,2,4,0
